Index,DIA,IJH,IJR,IVV,QQQ,SPY,VEA,VTI,VWO,VXUS
DIA,0.0019294297524102505,0.0019661828438006326,0.0020106359440462455,0.0017995182471537375,0.002147872297857668,0.0018661934603790183,0.002025970243263329,0.0018274419467243577,0.001746773476237347,0.0015154501526063113
IJH,0.0019661828438006326,0.0026989963303631986,0.00281271608233459,0.0021093005110548934,0.0026598330140806055,0.0021149658173377404,0.0024965038493528755,0.0022048617197293415,0.002337862612322057,0.0018938016111617476
IJR,0.0020106359440462455,0.00281271608233459,0.0031860127604461,0.002153079687756817,0.002692436576275519,0.0021542890687823034,0.0025285973886220456,0.0022792067033667062,0.002348382321253989,0.0019247708719194268
IVV,0.0017995182471537375,0.0021093005110548934,0.002153079687756817,0.001944810088496515,0.002536600980873781,0.0019496034429261181,0.0021778353268235447,0.0019539911793645956,0.0019455624764275073,0.0015889900074737946
QQQ,0.002147872297857668,0.0026598330140806055,0.002692436576275519,0.002536600980873781,0.004682667269661632,0.0025345638590398476,0.0023382332582234148,0.0023760559473618684,0.002227505119774698,0.0016985881518593662
SPY,0.0018661934603790183,0.0021149658173377404,0.0021542890687823034,0.0019496034429261181,0.0025345638590398476,0.0018520992068716286,0.0021785843377685526,0.0019558770857735397,0.0019508814791224507,0.001592084815852484
VEA,0.002025970243263329,0.0024965038493528755,0.0025285973886220456,0.0021778353268235447,0.0023382332582234148,0.0021785843377685526,0.0027944735162354706,0.0022520196155245953,0.002825689054746997,0.00198464665206519
VTI,0.0018274419467243577,0.0022048617197293415,0.0022792067033667062,0.0019539911793645956,0.0023760559473618684,0.0019558770857735397,0.0022520196155245953,0.002019445797774335,0.0020445116610088854,0.0016578223751802232
VWO,0.001746773476237347,0.002337862612322057,0.002348382321253989,0.0019455624764275073,0.002227505119774698,0.0019508814791224507,0.002825689054746997,0.0020445116610088854,0.0036515101274572207,0.0020498928104636625
VXUS,0.0015154501526063113,0.0018938016111617476,0.0019247708719194268,0.0015889900074737946,0.0016985881518593662,0.001592084815852484,0.00198464665206519,0.0016578223751802232,0.0020498928104636625,0.001983943966921338
